store,scale,insert_time_s,query_p50_ms,query_p95_ms,query_p99_ms,storage_mb
pgvector,1000,1.3,2.81,3.65,5.0,13.3
chromadb,1000,0.53,2.4,2.54,3.07,8.8
sqlite-vec,1000,0.23,1.65,1.7,1.9,4.1
pgvector,10000,25.78,3.05,3.33,3.53,131.8
chromadb,10000,6.92,3.43,3.57,3.97,46.8
sqlite-vec,10000,2.54,18.08,19.07,20.29,40.6
pgvector,50000,626.13,9.28,16.69,19.13,658.8
chromadb,50000,48.58,3.96,4.48,6.01,215.8
sqlite-vec,50000,13.2,84.45,91.5,95.99,198.8
pgvector,100000,1759.38,10.88,18.92,33.67,1317.5
chromadb,100000,110.78,4.04,4.59,4.85,427.2
sqlite-vec,100000,26.75,164.33,173.69,180.25,397.6
